"ImageId","URL","x1","y1","x2","y2","TrueLabel","TargetClass","OriginalLandingURL","License","Author","AuthorProfileURL"
"0c7ac4a8c9dfa802","https://c1.staticflickr.com/9/8540/28821627444_0524012bdd_o.jpg","0.0","0.0","0.871838111298","1.0","306","779","https://www.flickr.com/photos/gails_pictures/28821627444","https://creativecommons.org/licenses/by/2.0/","gailhampshire","https://www.flickr.com/people/gails_pictures/"
"f43fbfe8a9ea876c","https://c1.staticflickr.com/9/8066/28892033183_6f675dcc03_o.jpg","0.25","0.0","1.0","0.599757673667","884","378","https://www.flickr.com/photos/barty/28892033183","https://creativecommons.org/licenses/by/2.0/","Barry Badcock","https://www.flickr.com/people/barty/"
"4fc263d35a3ad3ee","https://c1.staticflickr.com/8/7378/27465801596_a9dd11e5e2_o.jpg","0.333333333333","0.0","1.0","1.0","244","123","https://www.flickr.com/photos/foxcroftacademy/27465801596","https://creativecommons.org/licenses/by/2.0/","Foxcroft Academy","https://www.flickr.com/people/foxcroftacademy/"
"cc13c2bc5cdd1f44","https://c1.staticflickr.com/9/8864/28546467522_56229f2bef_o.jpg","0.0","0.0","0.5","0.75","560","741","https://www.flickr.com/photos/o_0/28546467522/","https://creativecommons.org/licenses/by/2.0/","Guilhem Vellut","https://www.flickr.com/people/o_0/"
"73a52afd2f818ed5","https://c1.staticflickr.com/6/5607/31066602702_382b13646e_o.jpg","0.489195230999","0.0","1.0","0.75","439","696","https://www.flickr.com/photos/chemiebw/31066602702/","https://creativecommons.org/licenses/by/2.0/","Chemie-Verb\303\244nde Baden-W\303\274rttemberg","https://www.flickr.com/people/chemiebw/"
"58f0fd17c4a0e25a","https://c1.staticflickr.com/9/8262/29250758112_3147698dd2_o.jpg","0.0","0.0","0.5625","0.75","991","100","https://www.flickr.com/photos/zongo/29250758112","https://creativecommons.org/licenses/by/2.0/","DAVID HOLT","https://www.flickr.com/people/zongo/"
"90e11aa7c36c64f2","https://c1.staticflickr.com/8/7528/26850127330_56022d63f7_o.jpg","0.0","0.25","0.5625","1.0","950","1","https://www.flickr.com/photos/cogdog/26850127330","https://creativecommons.org/licenses/by/2.0/","Alan Levine","https://www.flickr.com/people/cogdog/"
"696f0f6bea562bf8","https://c1.staticflickr.com/6/5605/30947139580_468ba7e513_o.jpg","0.0","0.0","0.5","0.75","854","267","https://www.flickr.com/photos/jamesbradley/30947139580/","https://creativecommons.org/licenses/by/2.0/","Fr James Bradley","https://www.flickr.com/people/jamesbradley/"
"df58f94361c6d105","https://c1.staticflickr.com/8/7248/27047266920_8363816754_o.jpg","0.200627476882","0.0","0.601882430647","0.75","610","13","https://www.flickr.com/photos/roberthaandrikman/27047266920","https://creativecommons.org/licenses/by/2.0/","Robert Haandrikman","https://www.flickr.com/people/roberthaandrikman/"
"1394faa319bd353c","https://c1.staticflickr.com/1/542/31667350163_b6906e0d48_o.jpg","0.333333333333","0.0","1.0","1.0","610","507","https://www.flickr.com/photos/landrovermena/31667350163","https://creativecommons.org/licenses/by/2.0/","Land Rover MENA","https://www.flickr.com/people/landrovermena/"
"6cae4a23623d142b","https://c1.staticflickr.com/8/7404/27305101801_5b422e51fe_o.jpg","0.28125","0.0","0.84375","0.75","583","440","https://flickr.com/39309480@N05/27305101801","https://creativecommons.org/licenses/by/2.0/","Embajada de EEUU en la Argentina","https://www.flickr.com/people/embajadaeeuubuenosaires/"
"d02adcb9140880a1","https://c1.staticflickr.com/1/404/31746323273_467fb30873_o.jpg","0.0","0.0","0.714503816794","1.0","916","783","https://www.flickr.com/photos/ruthanddave/31746323273/","https://creativecommons.org/licenses/by/2.0/","Ruth Hartnup","https://www.flickr.com/people/ruthanddave/"
"71080285ad6cb4e9","https://c1.staticflickr.com/9/8444/29355103331_45d4b77595_o.jpg","0.0","0.25","0.75","1.0","456","478","https://www.flickr.com/photos/themarmot/29355103331","https://creativecommons.org/licenses/by/2.0/","The Marmot","https://www.flickr.com/people/themarmot/"
"137ab6ca314e9e35","https://c1.staticflickr.com/9/8681/28102039640_11703a03f5_o.jpg","0.0","0.311985172982","0.75","0.935955518946","620","556","https://www.flickr.com/photos/130468093@N03/28102039640","https://creativecommons.org/licenses/by/2.0/","~ladyyoruichi~","https://www.flickr.com/people/130468093@N03/"
"c819099fed6f0d73","https://c1.staticflickr.com/1/126/31638424475_3b36f926b1_o.jpg","0.32991202346","0.0","0.989736070381","1.0","962","777","https://www.flickr.com/photos/djackmanson/31638424475","https://creativecommons.org/licenses/by/2.0/","David Jackmanson","https://www.flickr.com/people/djackmanson/"
"4b384c8247b56c0a","https://c1.staticflickr.com/9/8526/28626152335_955398ef80_o.jpg","0.0","0.25","0.5","1.0","542","925","https://www.flickr.com/photos/virtualpainter/28626152335","https://creativecommons.org/licenses/by/2.0/","Taka Umemura","https://www.flickr.com/people/virtualpainter/"
